#     1:pT [GeV]	2:ur	3:Keq 1	4:Keq 2	5:Kshear 1	6:Kshear 2	7:Kshear 3	8:Kshear 4	9:Kbulk 1	10:Kbulk 2
    4.78022e-01	    0.00000e+00	    6.85785e-03	    1.34353e-19	    4.35371e-04	   -1.85467e-20	    1.80950e-19	   -3.37384e-20	    3.11480e-03	    6.68026e-20
    4.94000e-01	    0.00000e+00	    6.52795e-03	    1.47874e-19	    3.70417e-04	   -1.79236e-20	    1.70306e-19	   -4.60904e-20	    2.82564e-03	    8.01205e-20
    5.10184e-01	    0.00000e+00	    6.20184e-03	    1.39533e-19	    3.08116e-04	   -1.85351e-20	    1.70306e-19	   -3.95262e-20	    2.54798e-03	    9.47174e-20
    5.26582e-01	    0.00000e+00	    5.88026e-03	    1.33318e-19	    2.48651e-04	   -9.22886e-21	    1.06441e-19	   -3.82403e-20	    2.28247e-03	    6.05826e-20
    5.43205e-01	    0.00000e+00	    5.56389e-03	    1.69821e-19	    1.92180e-04	   -2.03218e-20	   -4.25765e-20	   -4.80397e-20	    2.02967e-03	    5.05481e-20
    5.60063e-01	    0.00000e+00	    5.25340e-03	    1.02906e-19	    1.38853e-04	   -2.34839e-20	    8.51530e-20	   -4.88034e-20	    1.79005e-03	    5.05609e-20
    5.77167e-01	    0.00000e+00	    4.94942e-03	    1.05470e-19	    8.87936e-05	   -2.12966e-20	    2.12883e-19	   -4.75144e-20	    1.56397e-03	    3.12121e-20
    5.94528e-01	    0.00000e+00	    4.65255e-03	    1.10951e-19	    4.21039e-05	   -1.99499e-20	    2.34171e-19	   -4.41786e-20	    1.35173e-03	    3.12749e-20
    6.12158e-01	    0.00000e+00	    4.36334e-03	    9.78397e-20	   -1.13102e-06	   -2.31723e-20	    1.27730e-19	   -5.00289e-20	    1.15351e-03	    2.98807e-20
    6.30069e-01	    0.00000e+00	    4.08231e-03	    1.59216e-19	   -4.08522e-05	   -3.57178e-20	    1.27730e-19	   -5.09563e-20	    9.69405e-04	    2.44449e-20
    6.48274e-01	    0.00000e+00	    3.80993e-03	    1.32665e-19	   -7.70214e-05	   -3.25101e-20	    2.63027e-13	   -5.35189e-20	    7.99438e-04	    2.55542e-20
    6.66787e-01	    0.00000e+00	    3.54662e-03	    9.63327e-20	   -1.09623e-04	   -3.83502e-20	    1.06441e-19	   -6.37114e-20	    6.43523e-04	    2.33903e-20
    6.85622e-01	    0.00000e+00	    3.29275e-03	    1.05253e-19	   -1.38663e-04	   -3.87132e-20	    1.49018e-19	   -5.76142e-20	    5.01493e-04	    1.21499e-20
    7.04794e-01	    0.00000e+00	    3.04868e-03	    1.00382e-19	   -1.64172e-04	   -1.79571e-20	    7.45089e-20	   -3.98843e-20	    3.73104e-04	    5.71672e-21
    7.24318e-01	    0.00000e+00	    2.81467e-03	    7.08105e-20	   -1.86200e-04	   -3.90573e-20	    1.17085e-19	   -6.85964e-20	    2.58026e-04	    9.69254e-21
    7.44211e-01	    0.00000e+00	    2.59095e-03	    9.71943e-20	   -2.04822e-04	   -2.92174e-20	    7.45089e-20	   -4.89826e-20	    1.55864e-04	    4.79744e-21
    7.64491e-01	    0.00000e+00	    2.37770e-03	    7.15139e-20	   -2.20130e-04	   -3.46212e-20	   -3.89020e-12	   -5.22921e-20	    6.61483e-05	    1.90640e-21
    7.85175e-01	    0.00000e+00	    2.17508e-03	    6.94434e-20	   -2.32238e-04	   -3.86935e-20	    8.51530e-20	   -5.32888e-20	   -1.16520e-05	    9.86814e-23
    8.06284e-01	    0.00000e+00	    1.98313e-03	    5.57782e-20	   -2.41282e-04	   -4.02107e-20	    1.67340e-13	   -4.54224e-20	   -7.81218e-05	   -1.89854e-21
    8.27837e-01	    0.00000e+00	    1.80190e-03	    5.95479e-20	   -2.47410e-04	   -3.09388e-20	    1.38374e-19	   -4.86182e-20	   -1.33898e-04	   -2.76165e-21
    8.49856e-01	    0.00000e+00	    1.63136e-03	    6.40908e-20	   -2.50791e-04	   -2.72850e-20	    2.04099e-13	   -3.84281e-20	   -1.79657e-04	   -6.04833e-21
    8.72365e-01	    0.00000e+00	    1.47144e-03	    5.34377e-20	   -2.51606e-04	   -2.92079e-20	   -2.04321e-11	   -4.74345e-20	   -2.16112e-04	   -6.46152e-21
    8.95387e-01	    0.00000e+00	    1.32203e-03	    6.40909e-20	   -2.50051e-04	   -2.61955e-20	   -5.44866e-12	   -3.98190e-20	   -2.44002e-04	   -8.68783e-21
    9.18948e-01	    0.00000e+00	    1.18296e-03	    5.10308e-20	   -2.46330e-04	   -2.96892e-20	    6.38648e-20	   -4.59648e-20	   -2.64082e-04	   -9.78107e-21
    9.43076e-01	    0.00000e+00	    1.05401e-03	    3.57783e-20	   -2.40658e-04	   -2.23289e-20	    5.32206e-20	   -3.31309e-20	   -2.77121e-04	   -8.30955e-21
    9.67799e-01	    0.00000e+00	    9.34944e-04	    3.42541e-20	   -2.33257e-04	   -2.45591e-20	   -4.55601e-14	   -3.62863e-20	   -2.83888e-04	   -1.47077e-20
    9.93148e-01	    0.00000e+00	    8.25466e-04	    3.10380e-20	   -2.24353e-04	   -2.37879e-20	   -7.41182e-13	   -4.22041e-20	   -2.85146e-04	   -1.25036e-20
    1.01916e+00	    0.00000e+00	    7.25255e-04	    2.63864e-20	   -2.14171e-04	   -2.26073e-20	   -1.41467e-11	   -2.96016e-20	   -2.81644e-04	   -8.24037e-21
