#     1:pT [GeV]	2:ur	3:Keq 1	4:Keq 2	5:Kshear 1	6:Kshear 2	7:Kshear 3	8:Kshear 4	9:Kbulk 1	10:Kbulk 2
    1.86778e+00	    1.68043e+00	    9.41792e-03	    8.69986e-03	    7.16997e-04	    5.95257e-04	    7.67123e-04	    6.25090e-04	   -2.33950e-03	   -2.04851e-03
    1.92723e+00	    1.68043e+00	    8.66715e-03	    8.03318e-03	    6.12734e-04	    5.04034e-04	    6.66916e-04	    5.38952e-04	   -2.37560e-03	   -2.10210e-03
    1.98972e+00	    1.68043e+00	    7.93209e-03	    7.37584e-03	    5.09906e-04	    4.13753e-04	    5.67164e-04	    4.52863e-04	   -2.38856e-03	   -2.13330e-03
    2.05551e+00	    1.68043e+00	    7.21595e-03	    6.73117e-03	    4.09671e-04	    3.25481e-04	    4.69039e-04	    3.67888e-04	   -2.37831e-03	   -2.14186e-03
    2.12489e+00	    1.68043e+00	    6.52191e-03	    6.10249e-03	    3.13190e-04	    2.40303e-04	    3.73724e-04	    2.85115e-04	   -2.34513e-03	   -2.12782e-03
    2.19820e+00	    1.68043e+00	    5.85310e-03	    5.49308e-03	    2.21615e-04	    1.59302e-04	    2.82403e-04	    2.05643e-04	   -2.28964e-03	   -2.09162e-03
    2.27578e+00	    1.68043e+00	    5.21254e-03	    4.90616e-03	    1.36065e-04	    8.35391e-05	    1.96242e-04	    1.30562e-04	   -2.21287e-03	   -2.03405e-03
    2.35807e+00	    1.68043e+00	    4.60310e-03	    4.34480e-03	    5.76062e-05	    1.40337e-05	    1.16358e-04	    6.09271e-05	   -2.11624e-03	   -1.95632e-03
    2.44554e+00	    1.68043e+00	    4.02749e-03	    3.81195e-03	   -1.27843e-05	   -4.82688e-05	    4.37986e-05	   -2.26609e-06	   -2.00154e-03	   -1.86003e-03
    2.53871e+00	    1.68043e+00	    3.48813e-03	    3.31030e-03	   -7.42424e-05	   -1.02524e-04	   -2.04960e-05	   -5.81102e-05	   -1.87098e-03	   -1.74718e-03
    2.63821e+00	    1.68043e+00	    2.98718e-03	    2.84227e-03	   -1.26056e-04	   -1.48026e-04	   -7.57240e-05	   -1.05825e-04	   -1.72712e-03	   -1.62017e-03
    2.74473e+00	    1.68043e+00	    2.52643e-03	    2.40997e-03	   -1.67699e-04	   -1.84238e-04	   -1.21262e-04	   -1.44790e-04	   -1.57289e-03	   -1.48175e-03
    2.85909e+00	    1.68043e+00	    2.10722e-03	    2.01504e-03	   -1.98873e-04	   -2.10839e-04	   -1.56699e-04	   -1.74585e-04	   -1.41150e-03	   -1.33499e-03
    2.98223e+00	    1.68043e+00	    1.73044e-03	    1.65871e-03	   -2.19541e-04	   -2.27753e-04	   -1.81885e-04	   -1.95028e-04	   -1.24636e-03	   -1.18321e-03
    3.11524e+00	    1.68043e+00	    1.39639e-03	    1.34163e-03	   -2.29962e-04	   -2.35185e-04	   -1.96957e-04	   -2.06213e-04	   -1.08107e-03	   -1.02990e-03
    3.25941e+00	    1.68043e+00	    1.10479e-03	    1.06387e-03	   -2.30717e-04	   -2.33649e-04	   -2.02372e-04	   -2.08537e-04	   -9.19237e-04	   -8.78637e-04
    3.41626e+00	    1.68043e+00	    8.54691e-04	    8.24861e-04	   -2.22720e-04	   -2.23985e-04	   -1.98925e-04	   -2.02720e-04	   -7.64361e-04	   -7.32898e-04
    3.58761e+00	    1.68043e+00	    6.44491e-04	    6.23334e-04	   -2.07219e-04	   -2.07350e-04	   -1.87746e-04	   -1.89806e-04	   -6.19717e-04	   -5.95979e-04

    6.46257e-03	    1.81113e+00	    4.60597e-03	    2.10708e-06	   -4.16588e-03	   -1.15850e-06	   -4.37783e-03	   -1.24271e-06	   -3.69960e-03	   -1.13679e-06
    1.93899e-02	    1.81113e+00	    4.63866e-03	    1.89833e-05	   -4.16829e-03	   -1.04026e-05	   -4.38109e-03	   -1.11602e-05	   -3.70424e-03	   -1.02043e-05
    3.23237e-02	    1.81113e+00	    4.70394e-03	    5.28418e-05	   -4.17301e-03	   -2.87641e-05	   -4.38750e-03	   -3.08667e-05	   -3.71333e-03	   -2.81972e-05
    4.52683e-02	    1.81113e+00	    4.80162e-03	    1.03890e-04	   -4.17985e-03	   -5.59921e-05	   -4.39686e-03	   -6.01081e-05	   -3.72652e-03	   -5.48333e-05
