#     1:pT [GeV]	2:ur	3:Keq 1	4:Keq 2	5:Kshear 1	6:Kshear 2	7:Kshear 3	8:Kshear 4	9:Kbulk 1	10:Kbulk 2
    4.78022e-01	    0.00000e+00	    6.90913e-02	    9.61842e-19	    4.86251e-03	   -3.10323e-19	    2.04367e-18	   -5.12417e-19	    4.44356e-02	    5.77279e-19
    4.94000e-01	    0.00000e+00	    6.56412e-02	    1.13461e-18	    4.04699e-03	   -2.38684e-19	    5.10918e-19	   -5.16768e-19	    4.09775e-02	    5.27089e-19
    5.10184e-01	    0.00000e+00	    6.22421e-02	    1.05449e-18	    3.27113e-03	   -3.30127e-19	    2.55459e-18	   -5.05403e-19	    3.76428e-02	    9.07653e-19
    5.26582e-01	    0.00000e+00	    5.89011e-02	    9.49612e-19	    2.53690e-03	   -2.14900e-19	    8.51530e-19	   -6.07746e-19	    3.44384e-02	    6.94693e-19
    5.43205e-01	    0.00000e+00	    5.56254e-02	    1.13619e-18	    1.84590e-03	   -2.50722e-19	    1.36245e-18	   -5.26547e-19	    3.13706e-02	    7.96706e-19
    5.60063e-01	    0.00000e+00	    5.24213e-02	    1.26404e-18	    1.19954e-03	   -2.86462e-19	    1.53275e-18	   -5.22585e-19	    2.84444e-02	    4.68675e-19
    5.77167e-01	    0.00000e+00	    4.92953e-02	    1.10600e-18	    5.98893e-04	   -3.76792e-19	    1.36245e-18	   -6.37153e-19	    2.56641e-02	    4.50560e-19
    5.94528e-01	    0.00000e+00	    4.62525e-02	    9.38761e-19	    4.46796e-05	   -2.81872e-19	    2.72490e-18	   -5.27601e-19	    2.30330e-02	    3.43383e-19
    6.12158e-01	    0.00000e+00	    4.32984e-02	    1.07010e-18	   -4.62568e-04	   -3.28312e-19	    6.81224e-19	   -5.85772e-19	    2.05533e-02	    4.35948e-19
    6.30069e-01	    0.00000e+00	    4.04377e-02	    1.19166e-18	   -9.22782e-04	   -4.96827e-19	    2.72490e-18	   -6.96016e-19	    1.82263e-02	    4.12660e-19
    6.48274e-01	    0.00000e+00	    3.76745e-02	    8.58522e-19	   -1.33608e-03	   -5.18599e-19	    1.53275e-18	   -6.99808e-19	    1.60523e-02	    3.11395e-19
    6.66787e-01	    0.00000e+00	    3.50122e-02	    9.35269e-19	   -1.70291e-03	   -4.66786e-19	    1.87337e-18	   -5.72523e-19	    1.40309e-02	    2.58655e-19
    6.85622e-01	    0.00000e+00	    3.24541e-02	    1.11410e-18	   -2.02398e-03	   -4.86741e-19	    3.40612e-19	   -6.89624e-19	    1.21606e-02	    3.22942e-19
    7.04794e-01	    0.00000e+00	    3.00028e-02	    7.78768e-19	   -2.30032e-03	   -2.29684e-19	    8.51530e-19	   -5.82188e-19	    1.04393e-02	    2.38314e-19
    7.24318e-01	    0.00000e+00	    2.76602e-02	    9.00283e-19	   -2.53317e-03	   -4.16211e-19	    3.40612e-19	   -5.38071e-19	    8.86378e-03	    2.68067e-19
    7.44211e-01	    0.00000e+00	    2.54278e-02	    7.47992e-19	   -2.72405e-03	   -3.55777e-19	    1.19214e-18	   -6.03583e-19	    7.43035e-03	    1.47301e-19
    7.64491e-01	    0.00000e+00	    2.33067e-02	    4.71369e-19	   -2.87469e-03	   -4.79058e-19	    5.10918e-19	   -5.53765e-19	    6.13455e-03	    1.29361e-19
    7.85175e-01	    0.00000e+00	    2.12972e-02	    8.23224e-19	   -2.98704e-03	   -3.11148e-19	    1.87337e-18	   -4.89519e-19	    4.97130e-03	    1.09140e-19
    8.06284e-01	    0.00000e+00	    1.93993e-02	    3.85531e-19	   -3.06324e-03	   -4.94159e-19	    1.19214e-18	   -5.01462e-19	    3.93497e-03	    7.01770e-20
