#     1:pT [GeV]	2:ur	3:Keq 1	4:Keq 2	5:Kshear 1	6:Kshear 2	7:Kshear 3	8:Kshear 4	9:Kbulk 1	10:Kbulk 2
    2.98223e+00	    1.56319e+00	    6.05846e-04	    5.81460e-04	   -1.37680e-04	   -1.37901e-04	   -1.21681e-04	   -1.23786e-04	   -5.00257e-04	   -4.76377e-04
    3.11524e+00	    1.56319e+00	    4.68803e-04	    4.50961e-04	   -1.28646e-04	   -1.28282e-04	   -1.15324e-04	   -1.16433e-04	   -4.16259e-04	   -3.97676e-04
    3.25941e+00	    1.56319e+00	    3.54363e-04	    3.41634e-04	   -1.16611e-04	   -1.15902e-04	   -1.05773e-04	   -1.06188e-04	   -3.38270e-04	   -3.24163e-04
    3.41626e+00	    1.56319e+00	    2.60831e-04	    2.52004e-04	   -1.02429e-04	   -1.01563e-04	   -9.38404e-05	   -9.38093e-05	   -2.67684e-04	   -2.57269e-04
    3.58761e+00	    1.56319e+00	    1.86244e-04	    1.80319e-04	   -8.70041e-05	   -8.61204e-05	   -8.03965e-05	   -8.01140e-05	   -2.05547e-04	   -1.98098e-04

    6.46257e-03	    1.68043e+00	    3.15915e-03	    1.49865e-06	   -2.42291e-03	   -7.02441e-07	   -2.55956e-03	   -7.59114e-07	   -2.35141e-03	   -7.14638e-07
    1.93899e-02	    1.68043e+00	    3.18325e-03	    1.35040e-05	   -2.42438e-03	   -6.30642e-06	   -2.56162e-03	   -6.81629e-06	   -2.35313e-03	   -6.41002e-06
    3.23237e-02	    1.68043e+00	    3.23136e-03	    3.75999e-05	   -2.42725e-03	   -1.74316e-05	   -2.56567e-03	   -1.88468e-05	   -2.35643e-03	   -1.76850e-05
    4.52683e-02	    1.68043e+00	    3.30335e-03	    7.39538e-05	   -2.43137e-03	   -3.39143e-05	   -2.57154e-03	   -3.66850e-05	   -2.36104e-03	   -3.43101e-05
    5.82280e-02	    1.68043e+00	    3.39899e-03	    1.22808e-04	   -2.43655e-03	   -5.55125e-05	   -2.57902e-03	   -6.00855e-05	   -2.36653e-03	   -5.59442e-05
    7.12073e-02	    1.68043e+00	    3.51797e-03	    1.84470e-04	   -2.44251e-03	   -8.19108e-05	   -2.58782e-03	   -8.87283e-05	   -2.37238e-03	   -8.21401e-05
    8.42105e-02	    1.68043e+00	    3.65992e-03	    2.59302e-04	   -2.44893e-03	   -1.12726e-04	   -2.59759e-03	   -1.22224e-04	   -2.37794e-03	   -1.12350e-04
    9.72420e-02	    1.68043e+00	    3.82438e-03	    3.47700e-04	   -2.45544e-03	   -1.47513e-04	   -2.60793e-03	   -1.60121e-04	   -2.38248e-03	   -1.45932e-04
    1.10306e-01	    1.68043e+00	    4.01082e-03	    4.50088e-04	   -2.46163e-03	   -1.85776e-04	   -2.61839e-03	   -2.01911e-04	   -2.38519e-03	   -1.82162e-04
    1.23408e-01	    1.68043e+00	    4.21863e-03	    5.66888e-04	   -2.46706e-03	   -2.26971e-04	   -2.62850e-03	   -2.47043e-04	   -2.38519e-03	   -2.20242e-04
    1.36552e-01	    1.68043e+00	    4.44710e-03	    6.98513e-04	   -2.47128e-03	   -2.70522e-04	   -2.63775e-03	   -2.94922e-04	   -2.38158e-03	   -2.59310e-04
    1.49741e-01	    1.68043e+00	    4.69548e-03	    8.45341e-04	   -2.47379e-03	   -3.15825e-04	   -2.64561e-03	   -3.44931e-04	   -2.37344e-03	   -2.98456e-04
    1.62983e-01	    1.68043e+00	    4.96292e-03	    1.00770e-03	   -2.47414e-03	   -3.62257e-04	   -2.65158e-03	   -3.96427e-04	   -2.35985e-03	   -3.36735e-04
    1.76280e-01	    1.68043e+00	    5.24848e-03	    1.18586e-03	   -2.47185e-03	   -4.09190e-04	   -2.65513e-03	   -4.48761e-04	   -2.33992e-03	   -3.73180e-04
    1.89637e-01	    1.68043e+00	    5.55115e-03	    1.38000e-03	   -2.46646e-03	   -4.55997e-04	   -2.65575e-03	   -5.01281e-04	   -2.31278e-03	   -4.06816e-04
    2.03061e-01	    1.68043e+00	    5.86988e-03	    1.59021e-03	   -2.45755e-03	   -5.02058e-04	   -2.65297e-03	   -5.53341e-04	   -2.27765e-03	   -4.36681e-04
    2.16555e-01	    1.68043e+00	    6.20350e-03	    1.81647e-03	   -2.44472e-03	   -5.46772e-04	   -2.64634e-03	   -6.04311e-04	   -2.23382e-03	   -4.61837e-04
    2.30125e-01	    1.68043e+00	    6.55081e-03	    2.05865e-03	   -2.42761e-03	   -5.89562e-04	   -2.63544e-03	   -6.53581e-04	   -2.18066e-03	   -4.81383e-04
    2.43776e-01	    1.68043e+00	    6.91052e-03	    2.31651e-03	   -2.40589e-03	   -6.29883e-04	   -2.61990e-03	   -7.00572e-04	   -2.11765e-03	   -4.94476e-04
    2.57513e-01	    1.68043e+00	    7.28131e-03	    2.58967e-03	   -2.37929e-03	   -6.67223e-04	   -2.59939e-03	   -7.44738e-04	   -2.04440e-03	   -5.00342e-04
    2.71342e-01	    1.68043e+00	    7.66179e-03	    2.87763e-03	   -2.34758e-03	   -7.01115e-04	   -2.57365e-03	   -7.85572e-04	   -1.96062e-03	   -4.98287e-04
    2.85268e-01	    1.68043e+00	    8.05052e-03	    3.17976e-03	   -2.31059e-03	   -7.31135e-04	   -2.54245e-03	   -8.22612e-04	   -1.86618e-03	   -4.87713e-04
    2.99297e-01	    1.68043e+00	    8.44604e-03	    3.49533e-03	   -2.26820e-03	   -7.56908e-04	   -2.50563e-03	   -8.55442e-04	   -1.76104e-03	   -4.68125e-04
    3.13435e-01	    1.68043e+00	    8.84685e-03	    3.82345e-03	   -2.22035e-03	   -7.78108e-04	   -2.46308e-03	   -8.83696e-04	   -1.64533e-03	   -4.39140e-04
    3.27689e-01	    1.68043e+00	    9.25140e-03	    4.16315e-03	   -2.16700e-03	   -7.94463e-04	   -2.41474e-03	   -9.07061e-04	   -1.51932e-03	   -4.00497e-04
    3.42063e-01	    1.68043e+00	    9.65814e-03	    4.51334e-03	   -2.10822e-03	   -8.05754e-04	   -2.36061e-03	   -9.25274e-04	   -1.38337e-03	   -3.52060e-04
    3.56565e-01	    1.68043e+00	    1.00655e-02	    4.87284e-03	   -2.04407e-03	   -8.11814e-04	   -2.30075e-03	   -9.38129e-04	   -1.23801e-03	   -2.93820e-04
    3.71202e-01	    1.68043e+00	    1.04720e-02	    5.24037e-03	   -1.97469e-03	   -8.12530e-04	   -2.23525e-03	   -9.45472e-04	   -1.08388e-03	   -2.25899e-04
    3.85979e-01	    1.68043e+00	    1.08759e-02	    5.61459e-03	   -1.90027e-03	   -8.07841e-04	   -2.16428e-03	   -9.47202e-04	   -9.21730e-04	   -1.48549e-04
    4.00905e-01	    1.68043e+00	    1.12758e-02	    5.99408e-03	   -1.82103e-03	   -7.97736e-04	   -2.08802e-03	   -9.43269e-04	   -7.52413e-04	   -6.21492e-05
    4.15987e-01	    1.68043e+00	    1.16701e-02	    6.37737e-03	   -1.73722e-03	   -7.82253e-04	   -2.00671e-03	   -9.33677e-04	   -5.76894e-04	    3.27969e-05
    4.31231e-01	    1.68043e+00	    1.20572e-02	    6.76293e-03	   -1.64915e-03	   -7.61479e-04	   -1.92064e-03	   -9.18475e-04	   -3.96212e-04	    1.35670e-04
    4.46646e-01	    1.68043e+00	    1.24357e-02	    7.14921e-03	   -1.55714e-03	   -7.35543e-04	   -1.83012e-03	   -8.97761e-04	   -2.11489e-04	    2.45737e-04
    4.62241e-01	    1.68043e+00	    1.28041e-02	    7.53462e-03	   -1.46155e-03	   -7.04616e-04	   -1.73548e-03	   -8.71675e-04	   -2.39100e-05	    3.62162e-04
    4.78022e-01	    1.68043e+00	    1.31610e-02	    7.91759e-03	   -1.36277e-03	   -6.68909e-04	   -1.63710e-03	   -8.40400e-04	    1.65289e-04	    4.84019e-04
    4.94000e-01	    1.68043e+00	    1.35050e-02	    8.29650e-03	   -1.26119e-03	   -6.28670e-04	   -1.53538e-03	   -8.04158e-04	    3.54835e-04	    6.10296e-04
